time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2022-12-31 13:00,2022-12-31 16:00,Orlan-10,,Kyiv oblast,,1,1,kpszsu/posts/pfbid02BJwxSbgrwKzGEsK6jyhJbph7RRXXUgW9XvPGpcVjQBwsMwHaGqqCf3NMRGShXQdJl
2022-12-31 13:00,2022-12-31 16:00,Unknown Missile,Caspian Sea,Ukraine,Tu-95MS and Iskander-M,20,12,kpszsu/posts/pfbid02BJwxSbgrwKzGEsK6jyhJbph7RRXXUgW9XvPGpcVjQBwsMwHaGqqCf3NMRGShXQdJl
2023-01-01,2023-01-01 08:00,Shahed-136/131,,Ukraine,,45,45,kpszsu/posts/pfbid02xyQJqVmLq3iBHmbKshd6AFpQdwZ6z3AjfUMHU4iDUhWY3FQ3vfDzXYDBqnemvp3dl
2023-01-02,2023-01-02 08:00,Shahed-136/131,,Ukraine,,39,39,kpszsu/posts/pfbid037Pa7yRRveDj81HSM2g7AFiPjsYJiy4Y3tjw3PYrCj1brZKZ1gKpPRbdo9GGXYTAWl
2023-01-02,2023-01-02,X-59,,,,1,1,kpszsu/posts/pfbid037Pa7yRRveDj81HSM2g7AFiPjsYJiy4Y3tjw3PYrCj1brZKZ1gKpPRbdo9GGXYTAWl
2023-01-02,2023-01-02,Orlan-10,,,,1,1,kpszsu/posts/pfbid037Pa7yRRveDj81HSM2g7AFiPjsYJiy4Y3tjw3PYrCj1brZKZ1gKpPRbdo9GGXYTAWl
2023-01-11 11:00,2023-01-11 14:00,Orlan-10,,south,,1,1,kpszsu/posts/pfbid02J6yhbpmiVnKLio6c9fqzHhZL3Vp2XG9RjM3AqSv9TfyNsy14TXvnkDqtyQU8bpQMl
2023-01-11 11:00,2023-01-11 14:00,Orlan-10,,south,,1,1,kpszsu/posts/pfbid02SNdSswZstsXrjNz9ScYtcjzXhshXUBzaxNWKpmDjSkjrZ7ZV7RshzjWQ2TM1fxPwl
2023-01-11 12:00,2023-01-11 12:00,Unknown UAV,,Odesa oblast,,1,1,PvKPivden/posts/pfbid02fnRXDLnmk77Qzbxz1PPKizhBw8KHqE6uVdp4RBzqPC64gzKhno4gdMKdp6Y9G3sSl
2023-01-12 09:00,2023-01-12 09:00,Orlan-10,,south,,1,1,kpszsu/posts/pfbid036sYAqDbhfDVz62XCzxM3yX5rADhTH5DfffTQeQyQRsPs8cEw5u4Fxz8S7ysjxFA8l
2023-01-14,2023-01-14,X-101/X-555,Caspian Sea,Ukraine,8 x TU-95MS,16,14,kpszsu/posts/pfbid033cViddnvVWtdJhK3rCTpRvdpGA6fADifW1s2NucPhySJeQ33jWg7aiv942zb2eUJl
2023-01-14,2023-01-14,Kalibr,Black Sea,Ukraine,Navi,7,4,kpszsu/posts/pfbid033cViddnvVWtdJhK3rCTpRvdpGA6fADifW1s2NucPhySJeQ33jWg7aiv942zb2eUJl
2023-01-14,2023-01-14,X-59,,Ukraine,Su-35,10,7,kpszsu/posts/pfbid033cViddnvVWtdJhK3rCTpRvdpGA6fADifW1s2NucPhySJeQ33jWg7aiv942zb2eUJl
2023-01-14,2023-01-14,X-22,Kursk and Sea of Azov,Ukraine,4 x Tu-22M3,4,0,kpszsu/posts/pfbid033cViddnvVWtdJhK3rCTpRvdpGA6fADifW1s2NucPhySJeQ33jWg7aiv942zb2eUJl
2023-01-14 15:30,2023-01-14 15:30,X-22,Kursk,Dnipro,1 x Tu-22M3,1,0,kpszsu/posts/pfbid033cViddnvVWtdJhK3rCTpRvdpGA6fADifW1s2NucPhySJeQ33jWg7aiv942zb2eUJl
